'llevamealaluna',2,0,212,,,,
'evelyn',216,506,5105,,,,
'annabelle',175,151,475,,,,
'20añosnoimportan',1,0,0,,,,
'sicario',94,40,157,,,,
'magicmikexxl',41,14,12383,,,,
'drive',490,704,7655,,,,
'capitanamericacivilwar',7,0,5,,,,
'coriolanus',183,416,981,,,,
'madreehijo',44,49,135,,,,
'marley',602,521,2754,,,,
'zootropolis',34,38,32,,,,
'capitalel',1,0,0,,,,
'hitchcock',1268,1600,10549,,,,
'sabotage',362,297,1080,,,,
'jurassicworld',2104,7055,364555,,,,
'carol',519,474,106880,,,,
'barbara',874,1044,52306,,,,
'moneyball',170,340,186,,,,
'blackcoal',1,0,0,,,,
'relatossalvajes',42,28,888,,,,
'toro',1613,1384,24217,,,,
'keepthelightson',7,9,4,,,,
'bigeyes',322,396,132165,,,,
'carminayamen',3,2,0,,,,
'ismael',23,41,190,,,,
'visitala',3,0,0,,,,
'daleduro',23,21,7,,,,
'leccionesdeamor',1,0,0,,,,
'siemprealice',1,0,0,,,,
'guerramundialz',22,49,43,,,,
'juntosyrevueltos',3,0,4,,,,
'sanandres',575,457,3514,,,,
'salvajes',113,93,3269,,,,
'blackhatamenazaenlared',3,0,0,,,,
'marsella',130,156,1049,,,,
'sifuerafacil',20,16,100,,,,
'lovemercy',4,1,0,,,,
'residentevilvenganza',1,0,0,,,,
'grandma',1522,1019,6464,,,,
'xmenapocalipsis',7,1,0,,,,
'gÃ¼eros',16,5,38,,,,
'americanultra',358,133,105214,,,,
'frozensingalong',3,2,0,,,,
'kikielamorsehace',3,1,0,,,,
'romperalph',24,49,486,,,,
'selma',303,101,105436,,,,
'walkingonsunshine',203,915,23274,,,,
'viajosola',10,2,24,,,,
'octoberbaby',68,178,1044,,,,
'sweethome',215,207,1530,,,,
'dandolanotaaunmasalto',3,0,0,,,,
'marthamarcymaymarlene',2,1,1,,,,
'insurgente',39,13,16,,,,
'madmaxfuriaenlacarretera',4,0,0,,,,
'presentimientos',3,1,0,,,,
'aprendiendoaconducir',1,0,0,,,,
'migrannoche',51,60,3143,,,,
'jackreacher',164,147,1299,,,,
'ghadi',92,33,2,,,,
'circuitocerrado',3,0,0,,,,
'searchingforsugarman',15,7,4,,,,
'loreak',7,13,0,,,,
'spotlight',260,92,1888,,,,
'gru2mivillanofavorito',3,0,0,,,,
'cafedeflore',14,23,56,,,,
'7cajas',13,16,60,,,,
'fuego',60,128,921,,,,
'callecloverfield10',3,0,0,,,,
'futbolin',22,7,6,,,,
'alguienaquienamar',3,15,9,,,,
'ahiosquedais',1,0,0,,,,
'jauja',43,78,87,,,,
'unapasteleriaentokio',1,0,0,,,,
'todaslasmujeres',15,12,7,,,,
'lagranestafaamericana',4,0,0,,,,
'monumentsmen',10,3,9,,,,
'benditacalamidad',2,4,2,,,,
'grandesesperanzas',3,1,9,,,,
'hablar',277,96,919,,,,
'corazondeleon',144,154,142,,,,
'tomboy',330,409,3897, 'ohboy',312,644,16720
'vampyres',2,0,0,,,,
'dosbuenostipos',2,0,0,,,,
'hitchcocktruffaut',9,3,18,,,,
'loquehacemosenlassombras',2,4,1,,,,
'ricki',36,13,10,,,,
'parker',745,480,818,,,,
'sufragistas',20,18,225,,,,
'justicia',88,0,723,,,,
'nationalgallery',119,83,57,,,,
'dosmasdos',6,12,8,,,,
'francofonia',7,3,2,,,,
'todosqueremosalgo',2,0,0,,,,
'indomable',2181,5458,511900,,,,
'braveindomable',3,0,0,,,,
'djangodesencadenado',3,0,0,,,,
'nightcrawler',381,469,16186,,,,
'mapa',670,542,3296,,,,
'populaire',432,63,610,,,,
'resucitado',17,7,28,,,,
'soloquimica',2,0,2,,,,
'greenroom',227,322,682,,,,
'avantipopolo',6,1,2,,,,
'tengoganasdeti',238,775,20512,,,,
'serena',692,729,19945,,,,
'golpedeefecto',542,790,1716,,,,
'aiweiweineversorry',1,1,0,,,,
'elefanteblanco',120,5,14,,,,
'magicmike',178,295,169,,,,
'miel',646,475,3646,,,,
'bajolamismaestrella',30,18,7,,,,
'tres60',42,6,190,,,,
'fausto',55,43,134,,,,
'magiaalaluzdelaluna',1,0,0,,,,
'mitierra',466,1580,27276,,,,
'efectossecundarios',11,6,3,,,,
'life',209,40,3350,,,,
'comoentrenaratudragon2',3,2,0,,,,
'septimo',67,105,558,,,,
'zarafa',4,0,8,,,,
'bluejasmine',19,5,12,,,,
'2guns',25,65,64,,,,
'ted2',113,64,11679,,,,
'obsesion',155,168,378,,,,
'desdealla',105,43,164,,,,
'azulynotanrosa',4,3,2,,,,
'caminandoentredinosaurios',7,5,22,,,,
'kingsmanserviciosecreto',4,3,0,,,,
'wilaya',1,0,0,,,,
'victorfrankenstein',32,77,78,,,,
'interstellar',469,560,7905,,,,
'fatima',2502,4885,657059,,,,
'mandarinas',34,10,128,,,,
'llenadegracia',1,0,0,,,,
'suitefrancesa',1,2,0,,,,
'openwindows',20,19,6,,,,
'amazingspiderman',109,53,135,,,,
'tinielgrancambiodevioletta',156,182,87335,,,,
'olostresoninguno',3,0,0,,,,
'nocheenelmuseoelsecretodelfaraon',3,0,0,,,,
'antesdeti',83,89,556,,,,
'ahorameves',5,1,2,,,,
'lomejordemi',29,32,46,,,,
'vulnerables',59,31,1890,,,,
'diosmioperoquetehemoshecho',2,0,66,,,,
'cuandoteencuentre',6,0,0,,,,
'nahid',6,7,6,,,,
'lomejorparaella',1,7,0,,,,
'margaret',215,158,421,,,,
'transcendence',98,56,296,,,,
'cautiva',27,24,12,,,,
'misemanaconmarilyn',1,0,0,,,,
