'prisioneros',8.1,434221
'divergente',6.7,363464
'harakiri',8.7,20722
'deepblueseathe',5.8,103785
'bluevalentine',7.4,152039
'requisitosparaserunapersonanormal',6.5,1640
'amigosdemas',7,8
'chappie',6.9,189926
'assassinthe',5.9,118175
'lucy',6.4,354328
'norespires',6.8,12
'havreel',7.2,16439
'foxfire',6.1,7326
'aboutthepinksky',6.6,120
'mascotas',6.6,123525
'masterthe',8.3,38706
'lomejordeeva',6.2,223
'diana',5.5,15819
'wilaya',6.7,26
'soulsurfer',7.1,37582
'truman',7.3,7368
'marley',8,11593
'hysteria',6.8,39274
'magallanes',7.4,570
'dredd',7.1,214516
'gimmedanger',7.2,2322
'incompatibles',5.8,3740
'reygitano',4.3,800
'angrybirds',6.3,56568
'mañana',8.1,1963
'resucitado',6.3,18332
'eternal',6.5,67686
'eliminado',5.6,50867
'pasolini',5.7,2055
'jauja',6.4,3042
'dictatorel',6.4,226167
'grandma',6.7,11411
'amoryletras',5.4,19
'pompeya',5.5,90585
'elpasado',5.8,1988
'regresion',5.7,26682
'puertafriaa',6.7,286
'krampus',6.2,42454
'lovemercy',7.4,27407
'perdiendoelnorte',5.8,2509
'berberiansoundstudio',6.2,11124
'calvary',7.4,46181
'cuevala',7.4,152039
'capitalel',6.8,705
'indomable',5.8,74718
'detuventanaalamia',6.8,326
'brasserieromantiek',5.9,490
'suburra',7.5,9621
'transcendence',6.3,185328
'warcraft',7,189738
'nationalgallery',7.3,980
'oapostolo',7.7,384
'runnerrunner',5.6,54460
'hannaharendt',7.1,8157
'lego',7.8,268269
'porunpuñadodebesos',6.3,410
'bajari',5.4,16
'10000nochesenningunaparte',7,155
'mortdecai',5.5,52542
'mama',8.1,34031
'justicia',9.1,301
'lostriver',5.8,13288
'enlacasa',6.3,2701
'magicmikexxl',5.7,42757
'presentimientos',6,301
'albert',4.7,162
'kingsofsummerthe',7.2,65931
'v3nganza',6,145470
'xp3d',3.7,1091
'prometheus',7,491464
'hoteltransilvania2',6.7,69871
'deadmandown',6.5,56978
'pequeñomagoel',5.5,20
'trolls',6.5,40575
'invasor',5.7,773
'luzdesoledad',7,8
'victorfrankenstein',6,38554
'deudala',7.4,65
'b',6.8,360
'aliados',7.1,81300
'holmeswatsonmadriddays',4.2,165
'secretodelos24escalonesel',3.3,59
'stepupallin',6,27339
'polisse',7.3,11446
'meteora',6.3,506
'fausto',8.1,11245
'dukeofburgundythe',6.6,8576
'enlamentedelasesino',7.5,93
'robocop',7.5,192496
'nuncaesdemasiadotarde',5.7,10
'lilting',7.2,4733
'pregonel',3.8,1385
'piratas',6.1,6488
'tabu',8.7,59370
'clubdelosincomprendidosel',5.7,968
'cuerpoel',6.8,6
'camilleclaudel',6.5,2441
'nightcrawler',7.9,335046
'holymotors',7.1,32186
'diosprohibidoun',6.3,113
'itfollows',6.9,137970
'historiarealuna',7.3,36
'trance',7,97527
'lasayzabala',6.1,252
'gravity',7.8,624608
'granfamiliaespañolala',6.6,9
'diplomacia',7.1,3720
'mechanicresurrection',5.6,49263
'triplenine',6.7,499
'avecesar',6.4,2690
'serena',5.4,19961
'zoolanderno2',4.7,48800
'7diasenlahabana',7.8,35
'visitala',5.2,2387
'brooklyn',7.5,95710
'hellomynameisdoris',6.7,12709
'71',7.2,39570
'magicalgirl',7.3,3778
'perdonasitellamoamor',6.6,1780
'chronicle',7.1,213643
'hombreperfectoel',5.2,12
'moonrisekingdom',7.8,255622
'drive',7.8,463424
'lunchboxthe',7.8,35600
'hastalavista',8.1,11
