"['PopieÅ‚uszko: La libertad esta en nosotros'
 'popieuszkolalibertadestaennosotros']","[datetime.datetime(2012, 1, 27, 0, 0) 34 1 12351 12351 32 32 1997 1997]","[datetime.datetime(2012, 3, 16, 0, 0) 67 8 37692 4 1 1 6113 1]"
"['Muppets, The' 'muppetsthe']","[datetime.datetime(2012, 2, 3, 0, 0) 3 1 747127 747127 354 360 115925
 115925]","[datetime.datetime(2013, 5, 3, 0, 0) 48 66 2477812 1838 31 31 390624 523]"
['Promocion Fantasma' 'promocionfantasma'],"[datetime.datetime(2012, 2, 3, 0, 0) 4 1 701885 701885 306 306 108100
 108100]","[datetime.datetime(2012, 3, 9, 0, 0) 47 6 1707679 1560 8 8 270460 267]"
['Moneyball' 'moneyball'],"[datetime.datetime(2012, 2, 3, 0, 0) 7 1 419325 419325 117 123 60683 60683]","[datetime.datetime(2012, 4, 6, 0, 0) 63 10 951162 420 4 4 143398 70]"
"['Katmandu, un espejo en el cielo' 'katmanduunespejoenelcielo']","[datetime.datetime(2012, 2, 3, 0, 0) 8 1 409209 409209 149 149 59678 59678]","[datetime.datetime(2012, 5, 25, 0, 0) 56 17 1500263 503 2 2 230877 79]"
"['Invitado, El' 'invitadoel']","[datetime.datetime(2012, 2, 10, 0, 0) 1 1 1749670 1749670 319 335 261408
 261408]","[datetime.datetime(2012, 5, 18, 0, 0) 63 15 5124458 412 2 2 791447 59]"
['War Horse (Caballo de Batalla)' 'warhorsecaballodebatalla'],"[datetime.datetime(2012, 2, 10, 0, 0) 2 1 1297107 1297107 365 400 195623
 195623]","[datetime.datetime(2012, 4, 20, 0, 0) 64 11 3861552 232 5 5 603545 37]"
['Star Wars:EP1 3D Amenaza Fantasma' 'starwarsep13damenazafantasma'],"[datetime.datetime(2012, 2, 10, 0, 0) 3 1 788706 774480 291 293 91263 89450]","[datetime.datetime(2012, 4, 6, 0, 0) 58 9 1471569 766 4 4 173203 91]"
['Lo Mejor de Eva' 'lomejordeeva'],"[datetime.datetime(2012, 2, 10, 0, 0) 10 1 307589 307589 177 177 46161
 46161]","[datetime.datetime(2012, 3, 16, 0, 0) 47 6 746206 1126 6 6 117315 177]"
['Declaracion de Guerra' 'declaraciondeguerra'],"[datetime.datetime(2012, 2, 10, 0, 0) 20 1 47224 47224 24 24 6935 6935]","[datetime.datetime(2012, 5, 4, 0, 0) 57 13 152202 617 3 3 23527 100]"
['Papa soy una zombi' 'papasoyunazombi'],"[datetime.datetime(2012, 2, 10, 0, 0) 21 1 43270 43270 101 101 6641 6641]","[datetime.datetime(2012, 4, 6, 0, 0) 60 9 89663 651 2 2 14744 93]"
['Three' 'three'],"[datetime.datetime(2012, 2, 10, 0, 0) 29 1 11666 11666 14 14 1744 1744]","[datetime.datetime(2012, 4, 6, 0, 0) 72 9 40433 107 1 1 6370 19]"
"['Turin Horse,The' 'turinhorsethe']","[datetime.datetime(2012, 2, 10, 0, 0) 40 1 3970 3970 2 2 611 611]","[datetime.datetime(2012, 3, 30, 0, 0) 65 8 17171 182 2 2 2718 35]"
"['Viaje al Centro de la Tierra 2:La Isla Misteriosa'
 'viajealcentrodelatierra2laislamisteriosa']","[datetime.datetime(2012, 2, 17, 0, 0) 1 1 1588512 1588512 327 468 215770
 215770]","[datetime.datetime(2012, 8, 3, 0, 0) 55 25 5391202 58 3 3 771014 9]"
"['Mujer de Negro, La' 'mujerdenegrola']","[datetime.datetime(2012, 2, 17, 0, 0) 2 1 986376 986376 306 308 150891
 150891]","[datetime.datetime(2012, 4, 27, 0, 0) 69 11 3233612 148 5 5 513292 26]"
['Infierno Blanco' 'infiernoblanco'],"[datetime.datetime(2012, 2, 17, 0, 0) 5 1 515521 515521 239 239 76637 76637]","[datetime.datetime(2012, 3, 30, 0, 0) 68 7 1169189 136 1 1 181073 34]"
['Shame' 'shame'],"[datetime.datetime(2012, 2, 17, 0, 0) 8 1 256515 256515 48 48 36066 36066]","[datetime.datetime(2012, 9, 14, 0, 0) 55 31 1131914 590 1 1 168381 67]"
['Young Adult' 'youngadult'],"[datetime.datetime(2012, 2, 17, 0, 0) 10 1 209810 209810 120 120 30654
 30654]","[datetime.datetime(2012, 4, 6, 0, 0) 73 8 426620 85 1 1 65447 13]"
"['Invencion de Hugo, La' 'invenciondehugola']","[datetime.datetime(2012, 2, 24, 0, 0) 1 1 1730287 1730287 278 377 225984
 225984]","[datetime.datetime(2012, 7, 13, 0, 0) 55 21 6279137 136 1 1 864572 16]"
['Ghost Rider Espiritu de Venganza (3D)' 'ghostriderespiritudevenganza3d'],"[datetime.datetime(2012, 2, 24, 0, 0) 3 1 861458 861458 308 439 119366
 119366]","[datetime.datetime(2012, 4, 6, 0, 0) 64 7 1692810 378 5 7 240799 93]"
['Mi Semana con Marilyn' 'misemanaconmarilyn'],"[datetime.datetime(2012, 2, 24, 0, 0) 9 1 262033 262033 203 206 38717 38717]","[datetime.datetime(2012, 5, 4, 0, 0) 62 11 568781 359 3 3 87753 59]"
['Polisse' 'polisse'],"[datetime.datetime(2012, 2, 24, 0, 0) 24 1 25683 25683 36 36 3793 3793]","[datetime.datetime(2012, 3, 23, 0, 0) 60 5 46074 346 3 3 7168 53]"
['Luces Rojas' 'lucesrojas'],"[datetime.datetime(2012, 3, 2, 0, 0) 2 1 1124257 1124257 304 310 166860
 166860]","[datetime.datetime(2012, 5, 18, 0, 0) 56 12 3041867 699 3 3 467444 107]"
['Chronicle' 'chronicle'],"[datetime.datetime(2012, 3, 2, 0, 0) 3 1 786631 786631 304 304 121478
 121478]","[datetime.datetime(2012, 4, 20, 0, 0) 71 8 1625626 64 2 2 257348 10]"
['Indomable' 'indomable'],"[datetime.datetime(2012, 3, 2, 0, 0) 5 1 519737 519737 286 286 78609 78609]","[datetime.datetime(2012, 3, 30, 0, 0) 64 5 910524 193 4 4 145408 32]"
"['Aventura Extraordinaria, Una' 'aventuraextraordinariauna']","[datetime.datetime(2012, 3, 2, 0, 0) 10 1 339131 339131 212 221 51425 51425]","[datetime.datetime(2012, 5, 4, 0, 0) 66 10 705249 307 4 4 109890 57]"
"['Y ahora, Â¿Adonde vamos?' 'yahoraadondevamos']","[datetime.datetime(2012, 3, 2, 0, 0) 16 1 99321 99321 48 48 14691 14691]","[datetime.datetime(2012, 6, 8, 0, 0) 67 15 276041 30 1 1 43533 4]"
['Any de GrÃ cia' 'anydegrcia'],"[datetime.datetime(2012, 3, 2, 0, 0) 22 1 44788 33665 32 32 6472 4678]","[datetime.datetime(2012, 4, 20, 0, 0) 59 8 86311 362 4 4 13123 65]"
['Fausto' 'fausto'],"[datetime.datetime(2012, 3, 2, 0, 0) 38 1 6702 6702 5 5 916 916]","[datetime.datetime(2012, 4, 20, 0, 0) 70 8 25862 96 1 1 3769 16]"
['John Carter' 'johncarter'],"[datetime.datetime(2012, 3, 9, 0, 0) 1 1 2043931 2043931 402 650 277929
 277929]","[datetime.datetime(2012, 5, 18, 0, 0) 75 11 5686461 36 2 2 799664 6]"
['Intocable' 'intocable'],"[datetime.datetime(2012, 3, 9, 0, 0) 2 1 1381673 1381673 227 237 201782
 201782]","[datetime.datetime(2012, 10, 19, 0, 0) 54 33 16335846 377 3 3 2512288 47]"
"['Idus de Marzo, Los' 'idusdemarzolos']","[datetime.datetime(2012, 3, 9, 0, 0) 5 1 584985 584985 202 209 85237 85237]","[datetime.datetime(2012, 7, 13, 0, 0) 52 19 2767091 296 3 3 417921 53]"
['Esto es la Guerra' 'estoeslaguerra'],"[datetime.datetime(2012, 3, 9, 0, 0) 6 1 572671 572671 340 340 88443 88443]","[datetime.datetime(2012, 4, 20, 0, 0) 52 7 1344370 752 7 7 215691 117]"
['De tu Ventana a la Mia' 'detuventanaalamia'],"[datetime.datetime(2012, 3, 9, 0, 0) 20 1 52487 52487 25 25 8207 8207]","[datetime.datetime(2012, 5, 25, 0, 0) 60 12 259791 348 2 2 43847 57]"
['Contraband' 'contraband'],"[datetime.datetime(2012, 3, 16, 0, 0) 3 1 742561 742561 296 296 112736
 112736]","[datetime.datetime(2012, 5, 18, 0, 0) 59 10 2073732 553 4 4 322444 84]"
"['Devil Inside, The' 'devilinsidethe']","[datetime.datetime(2012, 3, 16, 0, 0) 4 1 599176 599176 212 212 90595 90595]","[datetime.datetime(2012, 5, 18, 0, 0) 70 10 1346572 119 2 2 208804 19]"
"['Tan fuerte, tan cerca' 'tanfuertetancerca']","[datetime.datetime(2012, 3, 16, 0, 0) 10 1 166069 166069 76 78 24415 24415]","[datetime.datetime(2012, 5, 25, 0, 0) 62 11 380821 329 2 2 58403 53]"
"['Malas hierbas, Las' 'malashierbaslas']","[datetime.datetime(2012, 3, 16, 0, 0) 25 1 32291 32291 17 17 4568 4568]","[datetime.datetime(2012, 6, 29, 0, 0) 63 16 179532 182 1 1 27577 35]"
['Todos los dias de mi vida' 'todoslosdiasdemivida'],"[datetime.datetime(2012, 3, 23, 0, 0) 2 1 1381392 1381392 285 290 213420
 213420]","[datetime.datetime(2012, 6, 8, 0, 0) 58 12 5029929 523 9 9 799579 112]"
"['Blancanieves(Mirror, mirror)' 'blancanievesmirrormirror']","[datetime.datetime(2012, 3, 23, 0, 0) 3 1 1078541 1078541 351 373 166639
 166639]","[datetime.datetime(2012, 6, 29, 0, 0) 64 15 3853278 132 2 2 610786 19]"
"['Exotico Hotel Marigold, El' 'exoticohotelmarigoldel']","[datetime.datetime(2012, 3, 23, 0, 0) 5 1 493893 493893 215 215 72865 72865]","[datetime.datetime(2012, 8, 10, 0, 0) 42 21 3548259 593 2 2 549755 79]"
"['Borde del Abismo, Al' 'bordedelabismoal']","[datetime.datetime(2012, 3, 23, 0, 0) 7 1 379498 379498 268 292 59140 59140]","[datetime.datetime(2012, 4, 27, 0, 0) 46 6 852121 2212 11 11 134672 369]"
['Almanya-Bienvenidos a Alemania' 'almanyabienvenidosaalemania'],"[datetime.datetime(2012, 3, 23, 0, 0) 18 1 32150 32150 29 29 4716 4716]","[datetime.datetime(2012, 6, 15, 0, 0) 52 13 153592 770 1 1 23621 111]"
['Redencion (Tiranosaurio)' 'redenciontiranosaurio'],"[datetime.datetime(2012, 3, 23, 0, 0) 21 1 21972 21972 26 26 3207 3207]","[datetime.datetime(2012, 5, 11, 0, 0) 64 8 83306 194 2 2 13220 32]"
"['Perfecto Desconocido, El' 'perfectodesconocidoel']","[datetime.datetime(2012, 3, 23, 0, 0) 34 1 8463 8463 14 14 1350 1350]","[datetime.datetime(2012, 5, 11, 0, 0) 54 8 42412 572 3 3 7083 85]"
['Ira de Titanes' 'iradetitanes'],"[datetime.datetime(2012, 3, 30, 0, 0) 1 1 1990529 1990529 342 545 272172
 272172]","[datetime.datetime(2012, 6, 1, 0, 0) 59 10 5987884 168 2 2 838767 37]"
['Lorax. En busca de la Trufula perdida' 'loraxenbuscadelatrufulaperdida'],"[datetime.datetime(2012, 3, 30, 0, 0) 2 1 1210547 1210547 374 611 180124
 180124]","[datetime.datetime(2012, 7, 6, 0, 0) 38 15 7769351 2726 54 54 1189128 453]"
['Rec 3: Genesis' 'rec3genesis'],"[datetime.datetime(2012, 3, 30, 0, 0) 4 1 820167 820167 322 322 124950
 124950]","[datetime.datetime(2012, 5, 18, 0, 0) 53 8 2354953 889 11 11 369918 135]"
['Tres Veces Veinte Años' 'tresvecesveinteaños'],"[datetime.datetime(2012, 3, 30, 0, 0) 15 1 83962 83962 44 44 12431 12431]","[datetime.datetime(2012, 6, 29, 0, 0) 56 14 400966 360 3 3 63207 55]"
['Cumbres borrascosas' 'cumbresborrascosas'],"[datetime.datetime(2012, 3, 30, 0, 0) 29 1 10644 10644 7 7 1482 1482]","[datetime.datetime(2012, 5, 18, 0, 0) 71 8 49773 84 1 1 7307 12]"
['Vilamor' 'vilamor'],"[datetime.datetime(2012, 3, 30, 0, 0) 36 1 6099 6099 2 2 1031 1031]","[datetime.datetime(2012, 6, 15, 0, 0) 60 12 70729 312 1 1 11561 52]"
['Titanic' 'titanic'],"[datetime.datetime(2012, 4, 6, 0, 0) 4 1 1232637 838625 270 270 145267
 96814]","[datetime.datetime(2012, 5, 18, 0, 0) 32 7 3581254 8131 36 36 427209 933]"
['Grupo 7' 'grupo7'],"[datetime.datetime(2012, 4, 6, 0, 0) 6 1 890610 621356 243 244 134254 91832]","[datetime.datetime(2013, 2, 22, 0, 0) 58 47 2400200 385 12 12 370230 52]"
"['Fria luz del dia, La' 'frialuzdeldiala']","[datetime.datetime(2012, 4, 6, 0, 0) 7 1 805032 574751 262 262 121597 85164]","[datetime.datetime(2012, 5, 18, 0, 0) 54 7 1536241 836 8 8 237762 135]"
"['Infieles, Los' 'infieleslos']","[datetime.datetime(2012, 4, 6, 0, 0) 13 1 211329 147262 96 96 30660 20822]","[datetime.datetime(2012, 5, 25, 0, 0) 61 8 426753 336 2 2 64064 54]"
['Take Shelter' 'takeshelter'],"[datetime.datetime(2012, 4, 6, 0, 0) 23 1 43288 31694 20 20 6306 4533]","[datetime.datetime(2012, 6, 8, 0, 0) 62 10 144364 225 3 3 21258 34]"
['Battleship' 'battleship'],"[datetime.datetime(2012, 4, 13, 0, 0) 1 1 2110722 2110722 377 451 322035
 322035]","[datetime.datetime(2012, 6, 22, 0, 0) 58 11 4246754 280 2 2 660919 54]"
['Cairo Time' 'cairotime'],"[datetime.datetime(2012, 4, 13, 0, 0) 16 1 70154 70154 29 29 10236 10236]","[datetime.datetime(2012, 6, 8, 0, 0) 64 9 205220 87 1 1 31180 14]"
['De Nicolas a Sarkozy' 'denicolasasarkozy'],"[datetime.datetime(2012, 4, 13, 0, 0) 18 1 62026 62026 65 65 9069 9069]","[datetime.datetime(2012, 5, 18, 0, 0) 72 6 102897 79 2 2 15697 13]"
"['Juegos del Hambre, Los' 'juegosdelhambrelos']","[datetime.datetime(2012, 4, 20, 0, 0) 1 1 2980102 2980102 377 529 453067
 453067]","[datetime.datetime(2012, 8, 24, 0, 0) 53 19 8575406 194 3 3 1326295 31]"
"['Pesca del Salmon en Yemen, La' 'pescadelsalmonenyemenla']","[datetime.datetime(2012, 4, 20, 0, 0) 4 1 497709 497709 213 213 73072 73072]","[datetime.datetime(2012, 8, 31, 0, 0) 53 20 2230860 666 1 1 342496 82]"
['Soul Surfer' 'soulsurfer'],"[datetime.datetime(2012, 4, 20, 0, 0) 7 1 249481 249481 105 105 38205 38205]","[datetime.datetime(2012, 7, 13, 0, 0) 49 13 1109215 537 8 8 172539 95]"
"['Si quiero silbar, silbo' 'siquierosilbarsilbo']","[datetime.datetime(2012, 4, 20, 0, 0) 23 1 16833 16833 19 19 2450 2450]","[datetime.datetime(2012, 5, 25, 0, 0) 54 6 37654 659 2 2 5736 108]"
['Kiseki Milagro' 'kisekimilagro'],"[datetime.datetime(2012, 4, 20, 0, 0) 24 1 16788 16788 8 8 2354 2354]","[datetime.datetime(2012, 7, 20, 0, 0) 54 14 95564 200 2 2 14306 34]"
